52.2297,21.0122
52.230397,21.012824
52.230718,21.013488
52.231401,21.014028
52.232022,21.014544
52.232595,21.015146
52.232995,21.015826
52.233543,21.016194
52.233922,21.016695
52.234427,21.017119
52.235086,21.017508
52.235437,21.018027
52.235969,21.018689
52.236631,21.019148
52.237,21.019807
52.237676,21.020284
52.238091,21.02071
52.238455,21.02117
52.238788,21.021613
52.239265,21.022075
52.23963,21.022378
52.239949,21.022881
52.240293,21.023203
52.240932,21.02363
52.24128,21.024021
52.241636,21.02461
52.241942,21.02493
52.242374,21.025251
52.242764,21.025818
52.243197,21.026144
52.243709,21.026703
52.244316,21.027058
52.24499,21.02754
52.245612,21.028145
52.246161,21.02853
52.246694,21.028861
52.247307,21.029285
52.247754,21.029858
52.24814,21.030315
52.248609,21.030871
52.249163,21.031323
52.249723,21.031809
52.250259,21.032238
52.250579,21.032732
52.251191,21.033422
52.251565,21.033763
52.251988,21.034118
52.252431,21.034654
52.252905,21.035113
52.253545,21.035549
52.254107,21.036154
52.254655,21.036696
52.255113,21.037061
52.25571,21.037474
52.256299,21.03794
52.256753,21.038607
52.257367,21.03901
52.257759,21.039556
52.25807,21.040202
52.258692,21.040607
52.259054,21.041153
52.259393,21.041497
52.260092,21.041861
52.260694,21.042356
52.261015,21.042852
52.261585,21.043166
52.262171,21.043658
52.262477,21.044323
52.262928,21.044683
52.263385,21.045226
52.263748,21.045903
52.264271,21.046252
52.264651,21.046672
52.264971,21.047283
52.265643,21.047905
52.26626,21.048449
52.266848,21.049028
52.267254,21.049375
52.267682,21.049791
52.268201,21.050418
52.268724,21.050985
52.269319,21.051674
52.269673,21.052016
52.270157,21.052353
52.270672,21.053045
52.271129,21.053389
52.271546,21.053807
52.272078,21.054272
52.272718,21.054792
52.273186,21.055463
52.27352,21.055886
52.274172,21.056511
52.274731,21.057101
52.275058,21.057485
52.275441,21.057807
52.27613,21.058313
52.276483,21.058998
52.276943,21.059524
52.277436,21.060176
52.277964,21.060534
